"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","7times M O Shoulder Warmup",,"",0,"normal",,25,,,10
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","7times M O Shoulder Warmup",,"",1,"normal",,22,,,10
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","Bench Press (Dumbbell)",,"",0,"warmup",20,24,,,
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","Bench Press (Dumbbell)",,"",1,"normal",30,10,,,8
"1. Chest Shoulders and Triceps","23 may 2026, 19:36","23 may 2026, 19:50","","Bench Press (Dumbbell)",,"",2,"failure",30,9,,,8.5
"Entrenamiento nocturno 🏋️","25 feb 2026, 22:34","25 feb 2026, 22:46","","Decline Push Up",,"",0,"normal",,14,,,10
"Entrenamiento nocturno 🏋️","25 feb 2026, 22:34","25 feb 2026, 22:46","","Decline Push Up",,"",1,"normal",,12,,,10
"Entrenamiento nocturno 🏋️","25 feb 2026, 22:34","25 feb 2026, 22:46","","Scapular Pull Ups",,"",0,"normal",,17,,,
"Entrenamiento nocturno 🏋️","25 feb 2026, 22:34","25 feb 2026, 22:46","","Scapular Pull Ups",,"",1,"normal",,15,,,
"Entrenamiento nocturno 🏋️","19 dic 2025, 10:41","19 dic 2025, 12:01","","Running",,"",0,"normal",,,,4800,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Rotacion Externa Hombro",,"",0,"normal",3.75,10,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Rotacion Externa Hombro",,"",1,"normal",3.75,7,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Bench Press (Dumbbell)",,"",0,"warmup",20,24,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Bench Press (Dumbbell)",,"",1,"normal",30,13,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Bench Press (Dumbbell)",,"",2,"failure",30,9,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Overhead Press (Barbell)",,"",0,"normal",10,17,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Overhead Press (Barbell)",,"",1,"failure",20,9,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Overhead Press (Barbell)",,"",2,"failure",20,5,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Skullcrusher (Barbell)",,"",0,"failure",15,6,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Skullcrusher (Barbell)",,"",1,"failure",15,5,,,10
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Lateral Raise (Dumbbell)",,"",0,"failure",5,27,,,
"1. Chest Shoulders and Triceps","17 dic 2025, 19:38","17 dic 2025, 20:22","","Lateral Raise (Dumbbell)",,"",1,"failure",5,26,,,9.5
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Squat (Barbell)",,"",0,"warmup",25,9,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Squat (Barbell)",,"",1,"normal",50,7,,,9.5
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Squat (Barbell)",,"",2,"normal",50,5,,,9.5
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Romanian Deadlift (Barbell)",,"",0,"warmup",40,20,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Romanian Deadlift (Barbell)",,"",1,"normal",60,13,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Romanian Deadlift (Barbell)",,"",2,"normal",60,13,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Standing Calf Raise (Barbell)",,"",0,"failure",60,27,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Standing Calf Raise (Barbell)",,"",1,"failure",60,30,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Sit Up (Weighted)",,"",0,"normal",20,15,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Sit Up (Weighted)",,"",1,"failure",20,22,,,8.5
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Seated Wrist Extension (Barbell)",,"",0,"normal",7.5,13,,,10
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Seated Wrist Extension (Barbell)",,"",1,"normal",7.5,12,,,10
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Behind the Back Bicep Wrist Curl (Barbell)",,"",0,"normal",15,32,,,
"3. Legs and Abs","16 dic 2025, 16:24","16 dic 2025, 17:30","","Behind the Back Bicep Wrist Curl (Barbell)",,"",1,"normal",15,30,,,
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bicep Curl (Barbell)",,"",0,"failure",20,9,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bicep Curl (Barbell)",,"",1,"failure",20,6,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bicep Curl (Barbell)",,"",2,"dropset",10,6,,,10
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bent Over Row (Barbell)",,"",0,"failure",40,19,,,9.5
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bent Over Row (Barbell)",,"",1,"failure",40,16,,,9.5
"2. Back and Biceps","14 dic 2025, 17:59","14 dic 2025, 18:36","","Bent Over Row (Barbell)",,"",2,"dropset",20,20,,,10
